I don't think you will. I think you want to see what kind of man I am.,No creo que lo hagas. Creo que quieres ver qué clase de mujer soy.
"In this corner, the challenger, weighing in at ","En este rincón, la aspirante, con un peso de "
" pounds, fresh from the wasteland and new to New Reno, "," libras, llegada desde el Yermo a Nuevo Reno, "
"! Th' big hero! How can we help you? Maybe sing you something special, eh?","!La gran heroína! ¿Cómo podemos ayudarte? Quizá cantándote algo especial, ¿eh?"
". Help you wit somthin', champ?",". ¿Te ayudamos en algo, campeona?"
"Hep you wit somthin', son?","¿Te ayudamos en algo, hija?"
"I'd be honored if you would. Thanks, guys.","Estaría honrada si lo hicierais. Gracias, muchachos."
"Heeeey, champ! What's yer poison?","¡Heeeey, campeona! ¿Cuál es tu veneno?"
"I spoke to your son, Senor Mordino. I'm a slaver, and I'm looking for work.","He hablado con su hijo, señor Mordino. Soy una esclavista, y estoy buscando trabajo."
"I spoke to your son, Senor Mordino. I'm a slaver, and I'm looking to sell slaves.","He hablado con su hijo, señor Mordino. Soy una esclavista, y busco vender esclavos."
"(Sweat trickles down Mordino's face. His expression darkens.) You are a dog, and a SON of a dog. I will not buy
 from the likes of you. Leave... and do NOT return.","(Chorros de sudor caen por la cara de Mordino. Su expresión se oscurece) Eres una perra, y una hija de perra. No le compraré
 a gentuza como tú. Vete... y NO vuelvas."
"You come to me for work. I give you... work and you complain like a CHILD. (Takes a deep, rasping breath, then coughs.)
 You... are no longer welcome here... in my casino. Leave.","Vienes a mí buscando trabajo. Te doy... trabajo y te quejas como una NIÑA. (Toma una gran y áspera bocanada de aire, y luego tose)
 Ya... no eres bienvenida aquí... en mi casino. Márchate."
"You come to me for work. You refuse my... offer. (Takes a deep, rasping breath, then coughs.)
 You... are no longer welcome here... in my casino. Leave.","Vienes a mí buscando trabajo. Y rechazas mi... oferta. (Toma una gran y áspera bocanada de aire, y luego tose)
 Ya... no eres bienvenida aquí... en mi casino. Márchate."
"Call me a coward, but I like breathing. I'll pass on this job.","Llámeme cobarde, pero me gusta seguir viva. Rechazaré ese trabajo."
"Try anything, and you'll be joining the Mordinos the Salvatores butchered.","Intente algo, y se unirá a los Mordino masacrados por los Salvatore."
"(Nods.) Your success... pleases me. I would welcome you into the Family Mordino. (Clasps your shoulders.) Will
 you join our family? Your strength shall be... our strength.","(Asiente) Tu éxito... me complace. Serías bienvenida a la familia Mordino. (Te agarra por los hombros) ¿Te
 unirías a nuestra Familia? Tu fuerza será... nuestra fuerza."
You have become a made man of the Mordino family.,Te has convertido en Iniciada de la Familia Mordino.
"Get lost, stupid.","Piérdete, estúpida."
What kind of an asshole question is that?,¿Qué clase de pregunta idiota es esa?
(The man turns his glare on you.) You look like an idiot.,(El hombre vuelve tu mirada hacia ti) Pareces una idiota.
"You just walked into the WRONG place, dipshit.","Estás entrando en el lugar EQUIVOCADO, tarada."
"Well, look at the brass balls on this son of a bitch... get, boy, before we gun you down.","Vaya, mira las pelotas de acero de esta hija de puta... lárgate, chica, antes de que te metamos una bala en el entrecejo."
"Yo, champ. No weapons in here, 'kay?","Eh, campeona. Nada de armas aquí, ¿vale?"
"Yo, champ! Put that weapon away.","¡Eh, campeona! Guarda el arma."
"You deaf? John Friggin' Bishop is friggin' DEAD, awright? Now get outta here before you join him.","¿Estás sorda? El puñetero John Bishop está jodidamente MUERTO, ¿vale? Ahora sal de aquí antes de que te unas a él."
"Why didn't you just tack a sign on your chest that says, 'dumb mother fucker?' ",¿Por qué simplemente no te grabas una señal en el pecho que diga 'tonta hijoputa?' 
 bastard., zorra.
I am a warrior on a holy quest to retrieve the Garden of Eden Creation Kit. Do you know where I might find it?,Soy una guerrera con la sagrada misión de recuperar el Kit de Creación del Jardín del Edén. ¿Sabes dónde puedo encontrarlo?
"Yeah, I'm from the NCR, too. It's not the best, but it's a living. I'm pretty much a free agent.","Sí, también pertenezco a la RNC. No es lo mejor, pero puede pasar. Soy algo así como una agente libre."
"No, I'm just a traveler. I agreed to help Moore out because I needed work.","No, sólo soy una viajera. Estuve de acuerdo en ayudar a Moore porque necesitaba trabajo."
"Make it an even thousand, and you got yourself a hitman.","Que sean mil, y tienes a tu asesina."
"Not exactly... (Smiles.) What I got is an OFFER: How about becoming part of the Family? I got big plans, and I could
 use you: you're resourceful, tough, and you get things DONE. That's the kind of soldier I need.","No exactamente... (sonríe). Lo que tengo es una OFERTA: ¿Y si te conviertes en parte de la Familia? Tengo grandes planes, y podría
 necesitarte: tienes recursos, eres dura, y consigues que las cosas se HAGAN. Esa es la clase de soldado que necesito."
"You got a taste for women? I can make sure you're NEVER lonely again. Maybe you don't like the bitches,
 that's fine, I'll get you some glitterboys you can park your meat in.","Te gustan las mujeres? Puedo asegurarme de que NUNCA vuelvas a estar sola. Tal vez no te vayan las zorras,
 no pasa nada, está bien, te conseguiré distintos muchachos que puedas domar."
You have become a made man of the Bishop family.,Te has convertido en Iniciada de la Familia Bishop.
You've got some serious muscle to bust the Enclave like you did.,Debes de ser una tía realmente dura para machacar al Enclave como lo hiciste.
"With you on our side, those other families don't stand a chance, boss.","Contigo de nuestro lado, las demás Familias no tienen ninguna oportunidad, jefa."
"Get you anything, boss?","¿Necesitas algo, jefa?"
"Heard Mrs. Bishop was looking for you. Watch out, pal.","He oído que la señora. Bishop te estaba buscando. Ten cuidado, compañera."
"You don't look so tough, Mr. Prizefighter.","No pareces tan dura, señora Campeona."
"You know, Family Bishop could really use someone like you. Tough. Uncompromising.","Ya sabes, a la Familia Bishop podría venirle muy bien alguien como tú. Dura. Inflexible."
"Hey, champ! That last fight was great!","¡Hey, campeona! ¡Tu última pelea fue fantástica!"
"Get me a job, pal? C'mon. I'm the king of studs.","Me consigues un trabajo, compañera? Venga. Soy el rey entre los sementales."
"Looking deadly, sweetheart.","Eres mortal, dulzura."
I ain't looking for no tribal ass right now. Come back later.,No tengo tiempo para una apestosa tribal ahora mismo. Vuelve más tarde.
Get out of here before I beat you uglier than you are.,Lárgate de aquí antes de que te haga algo más fea de lo que eres.
"Oh, gee, you're my hero. Now PISS OFF.","Oh, caramba eres mi heroína. Y ahora VETE A LA MIERDA."
Jerkhole.,Tonta del culo.
Yessur?,"¿S-si, señora?"
Too slow!,¡Demasiado lenta!
Coulda been a contender!,¡Podría haber sido una contrincante de verdad!
Now you're mine.,Ahora eres mía.
Make you a bitch...,Te voy a hacer mi zorra...
Gonna beat you like a dog...,Te voy a golpear como a un perro...
"You're the best, ","¡Eres la mejor, "
"Get 'em, ","¡Acaba con él, "
 is the BEST. The BEST., es la MEJOR. La MEJOR.
", you are the man!",", eres la elegida!"
 is the best boxing champion I've ever seen., es la mejor campeona de boxeo que haya visto.
 is sooooo handsome., es taaaan guapa.
 is caring and nurturing. That's what he told me last night., está cuidada y nutrida. Eso es lo que me dijo ayer por la noche.
" was almost an unknown, fresh out of the wastes, before he came to box in New Reno.
 Mysterious! Deadly!"," era una desconocida, recién llegada del Yermo, antes de venir a boxear a Nuevo Reno.
 ¡Misteriosa! ¡Mortal!"
", you are the BEST. The BEST.",", eres la MEJOR. LA MEJOR."
" was almost an unknown, fresh out of the wastes, before he came to box in New Reno. Mysterious! Deadly!"," era una desconocida, recién llegada del Yermo, antes de venir a boxear a Nuevo Reno. ¡Misteriosa! ¡Mortal!"
You're the best ,"¡Eres la mejor, "
 is the man!, es la elegida!
", you are the best boxing champion I've ever seen.",", eres la mejor campeona de boxeo que haya visto."
"I hear you were an unknown, fresh out of the wastes, before you came to box in New Reno. Where are you from?","He oído que eres una desconocida, procedente del Yermo, antes de que vinieras a boxear a Nuevo Reno. ¿De dónde eres?"
", you are sooooo handsome.",", eres taaaaan guapa."
"It's hell's fury given flesh. Uh, underneath the armor, that is.","Es la furia del infierno encarnada. Eh, bajo la armadura, claro está."
Stay outta that man's path.,No te interpongas en el camino de esa mujer.
"La Femme Nikita, then some.","La Femme Nikita, y luego el resto."
"You got fries to go with that shake, beautiful?","¿No te calientas con ese meneo, preciosa?"
"Well, hellloooo stud.","Hooooola, semental."
A stallion like you in need of a saddle? I'm free tomorrow night.,¿Necesita una silla de montar un semental como tú? Libro mañana por la noche.
"Nimble little minx, aincha?","Eres una niña traviesa y ágil, ¿verdad?"
"Screw me if I'm wrong, darling, but don't you want to kiss me?","Puedes darme de leches si me equivoco, cariño, ¿pero no quieres besarme?"
Know what would look good on you? Me.,¿Sabes lo que te haría más llamativo? Yo.
"Piss off, retard. I ain't got time to do sign language with you.","Vete a hacer puñetas, retrasada. No tengo tiempo de hablar con signos contigo."
Heh-heh. Did you hear the one about the tribal who wiped out the Enclave?,Je je. ¿Habéis oído lo de esa tribal que acabó con el Enclave?
Did I mention the tribal was stupid?,¿He mencionado que la tribal era estúpida?
"Hey, welcome back!","¡Oye, bienvenida de nuevo!"
Uh-oh. A suit. Everybody on their toes.,"Oh, oh. Una iniciada. Todo el mundo firme."
Me tuff,Yo dura.
"All right! All right! Let's do this, people! Come on! Look alive! You ready?","¡Bien! ¡Bien! ¡Vamos a hacerlo, gente! ¡Venga! ¡Muévete! ¡Estás lista?"
Me ready like freddie,Lista calista
I was BORN ready.,NACÍ preparada.
"A job, huh? Well then, I AM a fluffer. The best fluffer in the business.","Un trabajo, ¿eh? De acuerdo entonces, SOY una entonadora. La mejor entonadora del mercado."
Screw you! You're not my boss. You're not the boss of me. I'm the fucking boss of ,¡Que te jodan! No eres mi jefe. Yo soy la puñetera jefa de 
"Hey...you all right? You seem a little out of it. You ain't on chems, are you? Cause I AIN'T gonna shoot you like this.","Oye... ¿estás bien? Pareces un poco descolocada. No has tomado drogas, ¿verdad? Porque NO voy a rodar contigo así."
"The Golden Globes studio, the studio for all talent in what remains of the world. And you, friend, you could be a STAR, know
 what I'm saying? You interested in acting?","El Golden Globes, el estudio para todos los talentos que aún hay en el mundo. Y tú, amiga, tú podrías ser una ESTRELLA, ¿sabes
 lo que digo? ¿Te interesa actuar?"
"Uh, what's a fluffer?","Uh, ¿qué es una entonadora?"
"Yer a hero, ","Eres una heroína, "
". A genuine hero. I'm not gonna forget all the shit you had to swallow for us. And once all the box office receipts come in,
 the whole world will know, too.",". Una auténtica heroína. No voy a olvidar toda la mierda que has tenido que tragar por nosotros. Y en cuanto todos los ingresos de taquilla se hayan recibido,
 el mundo entero también lo sabrá."
! Just the hero we wanted to see!,! ¡Precisamente la heroína que queríamos ver!
", our hero friend, have we got a deal for you!",", nuestra amiga y heroína, tenemos un trato para ti!"
"Hey, hero! You lookin' to celebrate with some Jet? Talk to me!","¡Oye, heroína! ¿Quieres celebrarlo con algo de Jet? ¡Habla conmigo!"
"Way to kick the Enclave's ass, hero! You want to kick back and celebrate with some Jet?","¡Qué forma de patearle el culo al Enclave, heroína! ¿Quieres relajarte y celebrarlo con un poco de Jet?"
"I got shit that'll help you kiss the sky, hero.","Tengo material que te hará subir hasta el cielo, heroína."
"Hero, you want brain candy, you come deal with me. I mark down ALL my shit for you.","Heroína, si quieres colocarte bien, haz negocios conmigo. He rebajado TODO mi material para ti."
"I know what you're looking for, friend, and I got it. All the Jet you NEED.","Sé lo que estás buscando, amiga, y lo tengo. Todo el Jet que NECESITAS."
"I got shit that'll help you kiss the sky, friend.","Tengo material que te hará subir hasta el cielo, amiga."
"Let me know how I can help YOU, hero. Tell me your needs, and I'll give you the best rate in town.","Hazme saber si puedo ayudarte, heroína. Dime lo que necesitas, y te daré lo mejor de la ciudad."
"So you lookin' to celebrate with some Jet, hero? You came to the right place. For you, EVERYTHING'S on special.","¿Así que estás buscando celebrarlo con algo de Jet, heroína? Has venido al lugar preciso. Para ti, TODO está a precio de ocasión."
"Least that I can do is mark down my stock for you, hero. Just my little way of saying thanks for saving our hide.","Lo menos que puedo hacer es rebajar mis existencias para ti, heroína. Sólo es mi forma de decirte gracias por salvar nuestros culos."
"I got shit that'll help you kiss the sky, hero.  And for you: a nice discount. How does that sound?","Tengo material que te ayudará a llegar al cielo, heroína. Y para ti, con un buen descuento. ¿Cómo te suena?"
"So you lookin' to party with some Jet, friend? You came to the right place. For you, EVERYTHING'S on special.","¿Así que quieres montarte una fiestecita con algo de Jet, amiga? Has venido al lugar preciso. Para ti, TODO está a precio de ocasión."
"I got enough Jet to put you in orbit, my fine friend. And for you: a discount. Shall we talk price?","Tengo Jet suficiente como para ponerte en órbita, mi nueva mejor amiga. Y para ti, un descuento. ¿Hablamos del precio?"
"I got shit that'll help you kiss the sky, friend.  And for you: a discount. That sound all right?","Tengo material que te ayudará a llegar al cielo, amiga. Y para ti, un descuento. ¿Suena eso lo suficientemente bien?"
"Least I can do is mark down my stock for YOU, friend. Just my way of being friendly.","Qué menos que rebajar mis existencias para TI, amiga. Sólo es mi forma de resultar amigable."
"Let me know how I can help YOU, friend. Tell me your needs, and I'll give you the best rate in town.","Hazme saber si puedo ayudarte, amiga. Dime lo que necesitas, y te daré lo mejor de la ciudad."
"I got enough Jet to put you in orbit, friend. Shall we talk price?","Tengo suficiente Jet como para ponerte en órbita, amiga. ¿Discutiremos el precio?"
"Congratulations, hero! You done good!","¡Felicidades, heroína! ¡Lo has hecho bien!"
"Welcome, hero! Damn nice work you made of the Enclave...saved all our hides, you did, and I thank you for it. Eldridge's
 the name. You in the market for some iron to fill that holster of yours?","¡Bienvenida, heroína! Hiciste un maldito buen trabajo con el Enclave... salvaste nuestros pellejos, eso hiciste, y te lo agradezco. Eldridge es mi nombre. ¿Estás en el mercado en busca de algo de hierro con el que llenar tu cartuchera?"
"Welcome, mister...Eldridge's the name. You in the market for some iron to fill that holster of yours?","Bienvenida, señorita... Eldridge es mi nombre. ¿Estás en el mercado en busca de algo de hierro con el que llenar tu cartuchera?"
"Welcome, traveler...Eldridge's the name. You in the market for some iron to fill that holster of yours?","Bienvenido, viajera... Eldridge es mi nombre. ¿Estás en el mercado en busca de algo de hierro con el que llenar tu cartuchera?"
"Welcome back, hero! Damn nice work you made of the Enclave...saved all our hides, you did, and I thank you for it. ","¡Bienvenida, heroína! Hiciste un maldito buen trabajo con el Enclave... salvaste nuestros pellejos, eso hiciste, y te lo agradezco. "
"Hello again, friend. What can I do for you?","Hola otra vez, amiga. ¿Qué puedo hacer por ti?"
"Not interested right now, thanks.","Ahora mismo no estoy interesada, gracias."
"(You are about to nod off, when suddenly Eldridge returns.) Sorry about the wait...here ya go. This might give you
 an edge against any son of bitches that try n' step on your shadow.","(Estás a punto de quedarte dormida, cuando de repente Eldridge regresa). Perdón por la espera... aquí está. Eso debería darte ventaja sobre cualquier hijo de puta que intente interponerse en tu camino."
"Oh...we got us a discrimnatin' customer, eh? Well, at times, some prize pieces do make their way through town...take
 this, for example. (Holds up something...odd.) Genuine pre-war tech. Innit something?","Oh... tenemos una cliente exigente, ¿eh? Bueno, a veces, llega hasta aquí algún premio gordo... mira
 esto, por ejemplo. (Toma algo... extraño). Genuina tecnología de antes de la guerra. ¿Te parece algo especial?"
"Sure is. I was interested in something else, though...",Seguro que lo es. Pero estaba interesada en alguna otra cosa...
"Yeah, I was interested in something else...","Sí, estaba interesada en algo más..."
"Actually, I was interested in something else...","En realidad, estaba interesada en otra cosa..."
Sorry. I thought you were someone else.,Perdón. Pensé que era otra persona.
I am a traveler looking for a Garden of Eden Creation Kit. Have you ever heard of one?,Soy una viajera que busca un Kit de Creación del Jardín del Edén. ¿Sabes de alguno?
I am a traveler looking for a place called Vault 13. Have you seen it?,Soy una viajera que busca un lugar llamado Refugio 13. ¿Lo conoces?
"Oh, my! You're a TRIBAL, aren't you? Your accent gave it away! (She raises her voice and starts speaking slowly.)
 WELL -- MAY I BE THE FIRST TO WELCOME YOU TO OUR CITY!","¡Oh, Dios! Eres una TRIBAL, ¿verdad? ¡Tu acento te delata! (Levanta la voz y comienza a hablar lentamente).
 BIEN: ¡SOY LA PRIMERA EN DARTE LA BIENVENIDA A NUESTRA CIUDAD!"
"Woman, I am neither deaf nor stupid. I can understand you QUITE well without you raising your voice.","Mujer, ni soy sorda ni un estúpida. Puedo comprenderte BASTANTE bien sin que levantes la voz."
"Perhaps you think this high-tech armor I'm wearing somehow magically attached itself to me. Look, cut out the 'tribal' talk,
 all right?","Quizá creas que esta armadura de alta tecnología que llevo está mágicamente pegada a mí. Mira, corta el rollo de la 'tribal',
 de acuerdo?"
"Look, do you think this weapon I'm carrying is some mystic totem that I keep around for show? Cut the 'tribal'
 talk, all right?","Oye, ¿crees que este arma que llevo es algún tótem místico que llevo para enseñarlo por ahí? Corta el rollo de la
 'tribal', ¿de acuerdo?"
"(Looks shocked.) Surely you are mistaken. Even a primitive tribal such as yourself can't
 seriously mean th--","(Parece sorprendida). Seguramente te equivocas. Incluso una tribal primitiva como tú no puede
 seriament--"
"By the balls of the sky spirits, yes! I myself like to indulge in all THREE of those sins. ","¡Por las pelotas de los espíritus del cielo, sí! A mí misma me encanta disfrutar de ESOS TRES pecados. "
"(Frowns, puts her hands on hips.) I will look into it, you can rest assured! And if I find that you are wrong, you had
 best leave this town! Meet me at the church tomorrow morning, and we will speak again.","(Frunce el ceño y se pone las manos en las caderas). ¡Voy a comprobarlo, puedes estar segura! ¡Y si me encuentro conque estás equivocada, será mejor que
 dejes esta ciudad! Reúnete conmigo en la iglesia mañana por la mañana, y hablaremos de nuevo."
Nevermind. I better be going.,No importa. Será mejor que me marche.
"That's me. You interested in a job? I kind of like big women like you. (Wiggle eyebrows suggestively.) Loosen
 that garter strap a little and we'll get down to business.","Esa soy yo. ¿Te interesa un trabajo? Me gustan las mujeres voluminosas como tú. (Mueves la cejas sugestivamente). Afloja
 la correa de esa liga sólo un poco y estaremos en el negocio."
All right...,Muy bien...
"I will, by tarnation! (Rolls up sleeves. To your surprise, she has arms like a weight lifter.) Thank you for opening
 my eyes, stranger. I'll put my husband back on the straight and narrow, even if it KILLS him.","¡Lo haré, vaya si lo haré! (Se remanga. Para tu sorpresa, tiene los brazos como un levantador de pesas). Gracias por abrirme
 los ojos, forastera. Pondré de nuevo a mi marido en el buen camino, aunque eso lo MATE."
I'm a little light on cash...,Ando un poco corta de efectivo...
Fine. Goodbye.,Muy bien. Adiós.
I see we have nothing more to say to each other unless I can prove it to you.,"Ya veo que no podemos decirnos nada más la una a la otra, a menos que te lo pueda demostrar."
Me hear-o,¿Yo heroína?
Me bye-o,Heroína marcha.
"Yer a HERO. I got sumfin' fer you. I dinna know what it wazzat first, but I figger you might be needin' it.","Edes una HEDOÍNA. Tengo al-go pada ti. Al pdincipio no sabía pada qué podía sedvid, aunque igual a ti te hace f-falta."
"Yer a heroo. Yoo deserve it. Not many gamerz today FINISH gamez, but yoo went th' diztance. I'm proud of yoo.
 Alluh NEW RENO iz prouda you.","Edes una hedoína. Te lo medeces. Hoy en día no muchos jugadodes TEDMINAN los juegos, y tú lo hiciste. Estoy odgulloso de ti.
 Todo NUEVO DENO está odgulloso de ti."
"Greetingzz, my son. Whazit Father Tully can do for youz on thiz fine, fine, Reno night?","Saludos, hija m-mía. ¿Qué puede haced el Padde Tully por ti en esta pdeciosa, pdeciosa noche?"
"Greetingzz, my son. Whazit Father Tully can do for youz on thiz fine, fine Reno day?","Saludos, hija m-mía. ¿Qué puede haced el Padde Tully por ti en este pdecioso, pdecioso día?"
"Naw, Vault City told him ta STICK it up his poopchute. So...not long after, Vault City starts getting raided. Fast.
 Hard. An' all th' while, right there is Bischop, telling 'em, ""I COULD help, IF you join with New Reno.""","Qué va, Ciudad Defugio les manda a tomad pod el culo. Y entonces... no mucho después, Ciudad Defugio empieza a sed atacada. Con dapidez.
 Y dudeza. Y mientdas tanto, ahí está Bischop, diciéndoles, ""yo PODRÍA ayudar, SI os unís a Nuevo Deno""."
"(Father Tully glances at the...now...empty bottle in his hands.) Say, don't mean to impose, friend: would yoo happenta
 have 'nother bottle of that fine vintage on you? All thiz talkin' is making me parsched.","(El Padre Tully contempla la... ahora... vacía botella de sus manos). Oye, no es que quieda obligadte, amiga: ¿no tenddías
 casualmente otda obtella de ese vino añe-jo? Toda esta chadla me está dejando la boca seca."
"Look, maybe I'll come back when you're sober.","Oiga, quizá vuelva cuando estés sobrio."
"Nuthin'! (Takes a drink.) They're the weakest of th' families, cuz they only brew alke-hol. Barely turn a cent, they do.
 Th' other families buy alke-hol offa them mostly outta pity.","¡Nada! (Toma un trago). Son la más débil de l-las Familias, podque sólo tdafican con alco-cohol. Apenas ganan un centavo con ello.
 Las demás Familias les compdan alcohol pdacticamente por pena."
(These guys give me the creeps...),(Esos tipos me acojonan...)
"Dammit! What are you doing, dipshit?!","¡Maldición! ¡¿Qué estás haciendo, tonta del culo?!"
"You want to kick back and celebrate yo victory with some Jet from Jagged Jimmy, hero?","¿Quieres relajarte y celebrar tu victoria con un poco de Jet de Jeta Jimmy, heroína?"
"Save the world, and Jagged Jimmy'll GIVES you the world, hero. All the Jet you need.","Salvas al mundo, y el Jeta Jimmy te ENTREGARÁ el mundo, heroína. Todo el Jet que quieras."
"Jimmy J's ALWAYS open for business, friend.","Jimmy J SIEMPRE tiene el negocio abierto, amiga."
"And my pilot friend, when it comes to Jet, Jagged Jimmy J's your MAN. I got the best shit in New Reno, pure
 Jet, straight Jet, the SAFEST Jet.","Y mi amiga piloto, cuando se trata de Jet, Jeta Jimmy J es tu HOMBRE. Tengo la mejor mierda de Nuevo Reno, puro
 Jet, Jet sin cortar, el Jet más SEGURO."
 KILL YOU, TE MATARÉ
ME BIG HERO ME SOLVE GAME AND KICK PREZ ASS AND BLOW UP OIL FLATFORM AND SAVE WORLD,"YO GRAN HEROÍNA, RESUELVO JUEGO Y PATEO CULOS Y VUELO POR LOS AIRES PLATAFORMA DE PETRÓLEO Y SALVO A MUNDO."
Me MADE man. Me BIG man in REEno,Yo INICIADA. Yo GRAN mujer en RENO.
"Jagged Jimmy J's got a lot of love, my pilot friend, but the world don't always love Jagged Jimmy J back, see?","Jeta Jimmy J reparte un montón de amor, mi amiga piloto, pero el mundo no siempre le devuelve amor a Jeta Jimmy J, ¿comprendes?"
"Hell, my pilot friend, I like you, so don't you be pulling up that barter screen with its fuses and wires and all.","Demonios, mi amiga piloto, me gustas, así que no actives esa pantalla de comercio con sus fusibles y cables y todo eso."
"Glad you asked, my pilot friend, glad you asked. See, all them OTHER dealers, right, they get their shit second hand,
 watered down, diluted with all sorts o' shit.","Me alegra que lo preguntes, mi amiga piloto, me alegra que lo preguntes. Verás, todos los DEMÁS vendedores, vale, consiguen de segunda mano su mierda,
 diluída, adulterada con toda clase de porquería."
"Me, I got ties to the CREATOR, my pilot friend. I get my Jet straight from the brainiac, the living god of chem n' compounds,
 MYRON.","YO tengo contactos con el CREADOR, mi amiga piloto. Consigo mi Jet directamente del cerebrito, el dios viviente de los compuestos químicos,
 MYRON."
Think I could meet this Myron?,¿Crees que podría encontrarme con ese tal Myron?
"Beats the hell outta me, friend. I SELL for the boy, and I ain't hardly see him but once or twice from a hundred yards
 away. Big Jesus Mordino don't let nobody near him who ain't tight with the family.","A mí ni me preguntes, amiga. Yo VENDO para el chico, y apenas he conseguido verlo una o dos veces desde cien yardas de
 distancia. Gran Jesús Mordino no permite que nadie se acerque a él si no es alguien de gran confianza de la Familia."
What's wrong?,¿Qué pasa?
"Hell, all's I'M sayin' is Jimmy likes his buyers happy and ALIVE. Draw yer own conclusions, my pilot friend.
 Is breathin' more important to you than shaving a few chips off your next Jet purchase?","Diablos, todo lo que ESTOY diciendo es que a Jimmy le gustan sus compradores felices y VIVOS. Saca tus propias conclusiones, mi amiga piloto.
 ¿Es mas importante para ti seguir respirando o ahorrarte unas fichas en tu próxima compra?"
"Aw, so NOW it comes out, does it?! You wanna know if ol' Jimmy got something to do with that, huh?!","Ah, así que AHORA me sales con esas, ¿verdad? Quieres saber si el viejo Jimmy tiene algo que ver con eso, ¿eh?"
"Nevermind, then.",Entonces no importa.
"What do I mean? I mean Jimmy likes his buyers happy and ALIVE. Renesco don't draw no distinctions 'tween the two,
 though...so YOU draw yer own conclusions, my pilot friend.","¿A qué me refiero? Me refiero a que a Jimmy le gustan sus compradores felices y VIVOS. Pero a Renesco ambas condiciones no le
 importan... así que SACA tus propias conclusiones, mi amiga piloto."
"New in Reno, slaver? Worth your time to talk ta me.","¿Nueva en Reno, esclavista? Merecerá tu tiempo que hables conmigo."
"New in town? Worth your time to talk ta me, friend.",¿Nueva en la ciudad? Merecerá tu tiempo que hables conmigo.
"Friend, if you ain't talked to Jules, you don't know HALF of what New Reno gots to offer.","Amiga, si no has hablado con Jules, no sabes ni la MITAD de lo que Nuevo Reno puede ofrecerte."
"New Reno's a dangerous place, friend. Let me fill you in on what's healthy and what's not.","Nuevo Reno es un lugar peligroso, amiga. Déjame que te describa lo que es saludable y lo que no."
"Yo! You got a minute, friend?","¡Tú! ¿Tienes un minuto, amiga?"
"Friend, you and me got to have some words. Let Jules show you around.","Amiga, tú y yo vamos a tener una pequeña charla. Deja que Jules te describa la zona."
"Looking for something, friend? Let Jules help you find it.","¿Buscas algo, amiga? Deja que Jules te ayude a encontrarlo."
Hallelujah! I always KNEW you would be the hero! I KNEW it!,¡Aleluya! Siempre SUPE que tú serías la heroína! ¡Lo SABÍA!
"Hero comin' through! Make way, make way!","¡Entra una heroína! ¡Abrid paso, abrid paso!"
"You gonna share some o' your fame with me, my he-ro friend?","¿Vas a compartir conmigo algo de tu fama, mi amiga y heroína?"
"You gonna share some o' your new wealth with me, my he-ro friend?","¿Vas a compartir algo de tu nueva fortuna conmigo, mi amiga y heroína?"
"You gonna put in a good word to the boss man for me, brother?","¿Le hablarás bien al jefe de mí, hermana?"
"Yo, brother, now you ain't forgotten your friend Jules on your rise to the top, have you?","Oye, hermana, no has olvidado a tu amigo Jules en tu ascenso a la cima, ¿verdad?"
"Yo, dark and deadly! Looks to me like New Reno's been GOOD to you!","¡Tú, oscura y mortal! ¡Me parece que Nuevo Reno te ha sentado BIEN!"
"Yo, now you ain't forgotten your friend Jules on your rise to the top, have you?","Oye, no has olvidado a tu amigo Jules en tu ascenso a la cima, ¿verdad?"
"Biggest little town in all the Wastes, friend.","La mayor pequeña ciudad del Yermo, amiga."
"You new in town? Worth your time to talk ta me, friend.","¿Eres nueva en la ciudad? Te merecerá tu tiempo hablar conmigo, amiga."
"You got the craving, I got the saving.","Tú tienes la urgencia, yo tengo la solución."
"Hey, hey, hey, welcome back! What is it you need from Jules, my friend?","¡Hey, hey, hey, bienvenida de nuevo! ¿Qué necesitas de Jules, amiga mía?"
"I can get you ANYTHING you need, brother. If you need to fly, get high, slide down low in a luscious ho, Jules knows
 where to GO. Question is: I gots the treasure, so what's YOUR pleasure?","Puedo conseguirte CUALQUIER cosa, hermana. Si necesitas volar, colocarte, y flipar de lo lindo, Jules sabe
 dónde IR. La pregunta es: Tengo la solución, así que ¿cual es tu problema?"
Tell me about the Mordino Family.,Háblame de la Familia Mordino.
"They're on top of the pile, friend. Ain't no more reason than that. They got the factory, the maker, and the
 distribution. They're like a whole goddamn airline they got so much Jet.","Están por encima de todos los demás, amiga. No hay ninguna otra razón. Tienen la fábrica, al creador, y la
 distribución. Son como toda una maldita aerolínea de tanto Jet que tienen."
"Uh... now, I  don't know 'bout that, and... hmmmm. Y'know, you talk like one of them whitecoats over at the Stables. Y'sure you ain't
 one of them?","Eh... bueno, no sé nada sobre eso, y... hmmmm. Ya sabes, podrías probar con uno de esos cerebritos del Establo. ¿Seguro que no eres
 una de ellos?"
"Now hold on a minute -- I wouldn't even THINK about that if I were you, friend. The Mordinos guard that place like
 rabid dogs. Just put the thought outta your mind.","Espera un momento... ni siquiera me lo PLANTEARÍA si fuera tú, amiga. Los Mordino protegen el lugar como
 perros rabiosos. Sácate esa idea de la cabeza."
